format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
model.layers.15.self_attn.k_proj.weight          1024x2048      2097152      0       208/2^34        8       148/2^9
model.layers.15.self_attn.o_proj.weight          2048x2048      4194304      0       237/2^38        10      235/2^9
model.layers.15.self_attn.q_norm.weight          128            128          0       226/2^16        3       186/2^6
model.layers.15.self_attn.q_proj.weight          2048x2048      4194304      0       248/2^33        8       216/2^9
model.layers.15.self_attn.v_proj.weight          1024x2048      2097152      0       203/2^32        8       219/2^9
model.layers.16.input_layernorm.weight           2048           2048         0       148/2^23        5       130/2^3
model.layers.16.mlp.down_proj.weight             2048x6144      12582912     0       173/2^37        9       191/2^8
model.layers.16.mlp.gate_proj.weight             6144x2048      12582912     0       154/2^37        9       132/2^8
model.layers.16.mlp.up_proj.weight               6144x2048      12582912     0       248/2^41        10      149/2^8
model.layers.16.post_attention_layernorm.weight  2048           2048         0       226/2^29        7       139/2^6
model.layers.16.self_attn.k_norm.weight          128            128          0       171/2^15        3       252/2^5
model.layers.16.self_attn.k_proj.weight          1024x2048      2097152      0       220/2^36        9       129/2^7
model.layers.16.self_attn.o_proj.weight          2048x2048      4194304      0       151/2^34        9       254/2^9
model.layers.16.self_attn.q_norm.weight          128            128          0       254/2^15        3       224/2^6
model.layers.16.self_attn.q_proj.weight          2048x2048      4194304      0       240/2^35        9       130/2^8
model.layers.16.self_attn.v_proj.weight          1024x2048      2097152      0       211/2^34        8       237/2^10
model.layers.17.input_layernorm.weight           2048           2048         0       188/2^22        5       135/2^2
model.layers.17.mlp.down_proj.weight             2048x6144      12582912     0       163/2^35        9       173/2^8
model.layers.17.mlp.gate_proj.weight             6144x2048      12582912     0       145/2^40        10      158/2^8
model.layers.17.mlp.up_proj.weight               6144x2048      12582912     0       184/2^36        9       202/2^9
model.layers.17.post_attention_layernorm.weight  2048           2048         0       245/2^24        5       177/2^6
model.layers.17.self_attn.k_norm.weight          128            128          0       241/2^18        4       128/2^3
model.layers.17.self_attn.k_proj.weight          1024x2048      2097152      0       246/2^35        9       212/2^9
model.layers.17.self_attn.o_proj.weight          2048x2048      4194304      0       151/2^34        9       209/2^9
model.layers.17.self_attn.q_norm.weight          128            128          0       196/2^14        2       151/2^4
model.layers.17.self_attn.q_proj.weight          2048x2048      4194304      0       254/2^38        10      197/2^9
model.layers.17.self_attn.v_proj.weight          1024x2048      2097152      0       211/2^34        8       254/2^10
model.layers.18.input_layernorm.weight           2048           2048         0       139/2^21        5       217/2^3
model.layers.18.mlp.down_proj.weight             2048x6144      12582912     0       158/2^35        9       183/2^8
model.layers.18.mlp.gate_proj.weight             6144x2048      12582912     0       217/2^35        9       143/2^8
model.layers.18.mlp.up_proj.weight               6144x2048      12582912     0       189/2^38        10      205/2^9
model.layers.18.post_attention_layernorm.weight  2048           2048         0       131/2^22        5       205/2^6
model.layers.18.self_attn.k_norm.weight          128            128          0       166/2^16        3       202/2^5
model.layers.18.self_attn.k_proj.weight          1024x2048      2097152      0       147/2^36        9       247/2^9
model.layers.18.self_attn.o_proj.weight          2048x2048      4194304      0       150/2^34        9       245/2^9
model.layers.18.self_attn.q_norm.weight          128            128          0       172/2^19        4       171/2^6
model.layers.18.self_attn.q_proj.weight          2048x2048      4194304      0       186/2^37        9       241/2^9
model.layers.18.self_attn.v_proj.weight          1024x2048      2097152      0       135/2^37        10      160/2^9
